title,author,weeks_in_ranking,synopsis,cover_url,common_genre
The Vanishing Half,Brit Bennett,1,The lives of twin sisters who run away from a Southern black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,https://s1.nyt.com/du/books/images/9780525536291.jpg,Combined Print & E-Book Fiction
The Guest List,Lucy Foley,1,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,https://s1.nyt.com/du/books/images/9780062868930.jpg,Combined Print & E-Book Fiction
Where The Crawdads Sing,Delia Owens,91,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://s1.nyt.com/du/books/images/9780735219090.jpg,Combined Print & E-Book Fiction
The Lies That Bind,Emily Giffin,1,"When the new man in her life disappears on 9/11, the budding reporter Cecily Gardner questions what she knew about him.",https://s1.nyt.com/du/books/images/9780399178955.jpg,Combined Print & E-Book Fiction
Hideaway,Nora Roberts,2,"A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.",https://s1.nyt.com/du/books/images/9781250207104.jpg,Combined Print & E-Book Fiction
White Fragility,Robin DiAngelo,11,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,https://s1.nyt.com/du/books/images/9780807047415.jpg,Combined Print & E-Book Nonfiction
So You Want To Talk About Race,Ijeoma Oluo,3,A look at the contemporary racial landscape of the United States.,https://s1.nyt.com/du/books/images/9781580056786.jpg,Combined Print & E-Book Nonfiction
How To Be An Antiracist,Ibram X. Kendi,6,A primer for creating a more just and equitable society through identifying and opposing racism.,https://s1.nyt.com/du/books/images/9780525509288.jpg,Combined Print & E-Book Nonfiction
Me And White Supremacy,Layla F. Saad,3,Ways to understand and possibly counteract white privilege.,https://s1.nyt.com/du/books/images/9781728209807.jpg,Combined Print & E-Book Nonfiction
The New Jim Crow,Michelle Alexander,3,"A law professor takes aim at the “war on drugs,” mass incarceration and their impact on black men.",https://s1.nyt.com/du/books/images/9781595586438.jpg,Combined Print & E-Book Nonfiction
Camino Winds,John Grisham,6,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,https://s1.nyt.com/du/books/images/9780385545938.jpg,Hardcover Fiction
Untamed,Glennon Doyle,13,The activist and public speaker describes her journey of listening to her inner voice.,https://s1.nyt.com/du/books/images/9781984801258.jpg,Hardcover Nonfiction
Between The World And Me,Ta-Nehisi Coates,88,"Winner of the 2015 National Book Award for nonfiction. A meditation on race in America as well as a personal  story, framed as a letter to the author's teenage son.",https://s1.nyt.com/du/books/images/9780679645986.jpg,Hardcover Nonfiction
Becoming,Michelle Obama,78,"The former first lady describes how she balanced work, family and her husband’s political ascent.",https://s1.nyt.com/du/books/images/9781524763138.jpg,Hardcover Nonfiction
The Splendid And The Vile,Erik Larson,15,An examination of the leadership of the prime minister Winston Churchill.,https://s1.nyt.com/du/books/images/9780385348713.jpg,Hardcover Nonfiction
Little Fires Everywhere,Celeste Ng,57,An artist with a mysterious past and a disregard for the status quo upends a quiet town outside Cleveland.,https://s1.nyt.com/du/books/images/9780735224308.jpg,Paperback Trade Fiction
Normal People,Sally Rooney,16,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,https://s1.nyt.com/du/books/images/9781984822178.jpg,Paperback Trade Fiction
Then She Was Gone,Lisa Jewell,47,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions.",https://s1.nyt.com/du/books/images/9781501154669.jpg,Paperback Trade Fiction
The Woman In The Window,A.J. Finn,59,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,https://s1.nyt.com/du/books/images/9780062678416.jpg,Paperback Trade Fiction
Circe,Madeline Miller,7,"Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",https://s1.nyt.com/du/books/images/9780316556347.jpg,Paperback Trade Fiction
The Color Of Law,Richard Rothstein,6,A case for how the American government abetted racial segregation in metropolitan areas across the country.,https://s1.nyt.com/du/books/images/9781631494536.jpg,Paperback Nonfiction
Just Mercy,Bryan Stevenson,208,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,https://s1.nyt.com/du/books/images/9780812994520.jpg,Paperback Nonfiction
Relationship Goals,Michael Todd,6,null,https://s1.nyt.com/du/books/images/9780593192573.jpg,"Advice, How-To & Miscellaneous"
"Magnolia Table, Vol. 2",Joanna Gaines,9,null,https://s1.nyt.com/du/books/images/9780062820181.jpg,"Advice, How-To & Miscellaneous"
"The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,31,null,https://s1.nyt.com/du/books/images/9780062976581.jpg,"Advice, How-To & Miscellaneous"
Act Like A Lady,"Keltie Knight, Becca Tobin and Jac Vanek",1,null,https://s1.nyt.com/du/books/images/9780593136447.jpg,"Advice, How-To & Miscellaneous"
Atomic Habits,James Clear,30,null,https://s1.nyt.com/du/books/images/9780735211292.jpg,"Advice, How-To & Miscellaneous"
The One And Only Bob,Katherine Applegate. Illustrated Patricia Castelao,5,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister.",https://s1.nyt.com/du/books/images/9780062991317.jpg,Children’s Middle Grade Hardcover
Little Legends: Exceptional Men In Black History,Vashti Harrison with Kwesi Johnson,11,Biographies of trailblazing black men.,https://s1.nyt.com/du/books/images/9780316475143.jpg,Children’s Middle Grade Hardcover
Little Leaders,Vashti Harrison,33,The biographies of 40 African-American women who made a difference.,https://s1.nyt.com/du/books/images/9780316475112.jpg,Children’s Middle Grade Hardcover
The Complete Cookbook For Young Chefs,America's Test Kitchen Kids,60,Over 100 kid-tested recipes from America's Test Kitchen.,https://s1.nyt.com/du/books/images/9781492670025.jpg,Children’s Middle Grade Hardcover
Wonder,R.J. Palacio,251,A boy with a facial deformity starts school.,https://s1.nyt.com/du/books/images/9780375899881.jpg,Children’s Middle Grade Hardcover
The World Needs More Purple People,Kristen Bell and Benjamin Hart. Illustrated Daniel Wiseman,1,Embracing the things that bring us together as humans.,https://s1.nyt.com/du/books/images/9780593121962.jpg,Children’s Picture Books
The Day You Begin,Jacqueline Woodson. Illustrated Rafael López,13,A group of school children embrace their differences.,https://s1.nyt.com/du/books/images/9780399246531.jpg,Children’s Picture Books
Sulwe,Lupita Nyong'o. Illustrated Vashti Harrison,9,"After a magical journey with a shooting star, Sulwe discovers her inner beauty.",https://s1.nyt.com/du/books/images/9781534425361.jpg,Children’s Picture Books
Hair Love,Matthew A. Cherry. Illustrated Vashti Harrison,9,A father and daughter work together on an extra-special hairstyle.,https://s1.nyt.com/du/books/images/9780525553366.jpg,Children’s Picture Books
I Am Enough,Grace Byers. Illustrated Keturah A. Bobo,8,A poetic affirmation of self-esteem.,https://s1.nyt.com/du/books/images/9780062667120.jpg,Children’s Picture Books
The Hunger Games,Suzanne Collins,233,"In a dystopia, a girl fights for survival on live TV.",https://s1.nyt.com/du/books/images/9780545663267.jpg,Children’s Series
Dog Man,Dav Pilkey,145,A dog’s head is combined with a policeman’s body to create this hybrid supercop hound.,https://s1.nyt.com/du/books/images/9780545935210.jpg,Children’s Series
Harry Potter,J.K. Rowling,585,A wizard hones his conjuring skills in the service of fighting evil.,https://s1.nyt.com/du/books/images/9780590353427.jpg,Children’s Series
Artemis Fowl,Eoin Colfer,121,A criminal's magical adventures.,https://s1.nyt.com/du/books/images/9781423108368.jpg,Children’s Series
Dragon Masters,Tracey West,2,"Drake, once skeptical of the existence of dragons, now trains his very own.",https://s1.nyt.com/du/books/images/9781338540253.jpg,Children’s Series
The Hate U Give,Angie Thomas,171,A 16-year-old girl sees a police officer kill her friend.,https://s1.nyt.com/du/books/images/9780062498533.jpg,Young Adult Hardcover
Stamped,Jason Reynolds and Ibram X. Kendi,11,An exploration of racism and anti-racism in America.,https://s1.nyt.com/du/books/images/9780316453691.jpg,Young Adult Hardcover
One Of Us Is Lying,Karen M. McManus,124,"For five students, a detour into detention ends in murder.",https://s1.nyt.com/du/books/images/9781524714680.jpg,Young Adult Hardcover
Chain Of Gold,Cassandra Clare,14,Cordelia battles demons in a quarantined London that are nothing like she’s encountered before.,https://s1.nyt.com/du/books/images/9781481431873.jpg,Young Adult Hardcover
Star Wars: Queen'S Peril,E.K. Johnston,1,Newly elected Queen Amidala prepares for a peaceful transition of power.,https://s1.nyt.com/du/books/images/9781368057141.jpg,Young Adult Hardcover
